title,stream,description,required_skills,min_education,salary_range,type,difficulty,market_demand
Backend Developer,Engineering/Technology,"Specialize in server-side business logic, database queries, and REST APIs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Python;Node.js;SQL;MongoDB;Docker;Git,Undergraduate (B.Tech/BCA/B.Sc CS),₹400000 - ₹1500000,Private Sector,Hard,High
Mobile App Developer,Engineering/Technology,"Specialize in native and hybrid mobile application development for Android and iOS to analyze, design, and optimize systems while collaborating with cross-functional teams.",Flutter;React Native;Swift;Kotlin;Git,Undergraduate (B.Tech/BCA),₹400000 - ₹1400000,Private Sector,Medium,High
Cloud Engineer,Engineering/Technology,"Specialize in deploying, scaling, and managing software applications in cloud infrastructures to analyze, design, and optimize systems while collaborating with cross-functional teams.",AWS;Azure;Linux;Terraform;Docker,Undergraduate (B.Tech/BCA/B.Sc CS),₹500000 - ₹1800000,Private Sector,Hard,High
Systems Administrator,Engineering/Technology,"Specialize in maintaining corporate server grids, computer networks, and directories to analyze, design, and optimize systems while collaborating with cross-functional teams.",Linux;Windows Server;Active Directory;Bash;Networking,Undergraduate/Diploma,₹300000 - ₹900000,Private Sector,Medium,Stable
Network Engineer,Engineering/Technology,"Specialize in routing and switching logic, and securing corporate local and wide area networks to analyze, design, and optimize systems while collaborating with cross-functional teams.",Cisco CCNA;Routing;Switching;Firewalls;TCP/IP,Undergraduate/Diploma,₹350000 - ₹1000000,Private Sector,Medium,Stable
Solutions Architect,Engineering/Technology,"Specialize in designing structural blueprints for software networks and databases to analyze, design, and optimize systems while collaborating with cross-functional teams.",System Design;Cloud Computing;Microservices;Security Architecture;API Design,Undergraduate (B.Tech/BCA) + Experience,₹1000000 - ₹3000000,Private Sector,Hard,High
QA Automation Analyst,Engineering/Technology,"Specialize in writing automated testing scripts to check code quality and features to analyze, design, and optimize systems while collaborating with cross-functional teams.",Selenium;Python;Java;Jira;CI/CD,Undergraduate (B.Tech/BCA),₹350000 - ₹1000000,Private Sector,Medium,High
Penetration Tester,Engineering/Technology,"Specialize in identifying system loopholes by simulating cyber-attacks on network lines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Ethical Hacking;Kali Linux;Metasploit;Network Security;Python,Undergraduate (B.Tech/BCA),₹500000 - ₹1600000,Private Sector,Hard,High
Database Developer,Engineering/Technology,"Specialize in designing complex relational schemas and tuning database queries to analyze, design, and optimize systems while collaborating with cross-functional teams.",SQL;PL/SQL;Database Design;Performance Tuning;PostgreSQL,Undergraduate (BCA/B.Sc CS),₹350000 - ₹1100000,Private Sector,Medium,Stable
Big Data Engineer,Engineering/Technology,"Specialize in structuring pipelines to ingest and query large distributed database collections to analyze, design, and optimize systems while collaborating with cross-functional teams.",Hadoop;Spark;Scala;Hive;Kafka,Undergraduate (B.Tech/BCA),₹600000 - ₹2200000,Private Sector,Hard,High
DevSecOps Specialist,Engineering/Technology,"Specialize in embedding automated code scanning checks into build deployment pipelines to analyze, design, and optimize systems while collaborating with cross-functional teams.",CI/CD;Docker;Kubernetes;SonarQube;Vulnerability Scanning,Undergraduate (B.Tech/BCA),₹550000 - ₹1900000,Private Sector,Hard,High
Release Manager,Engineering/Technology,"Specialize in coordinating code packaging versioning rules and production release dates to analyze, design, and optimize systems while collaborating with cross-functional teams.",Git;Jenkins;Maven;Docker;Jira,Undergraduate,₹400000 - ₹1200000,Private Sector,Medium,Stable
Embedded Software Developer,Engineering/Technology,"Specialize in programming firmware components for dedicated hardware chips to analyze, design, and optimize systems while collaborating with cross-functional teams.",C;C++;Microcontrollers;RTOS;Assembly,Undergraduate (B.Tech ECE/EE),₹450000 - ₹1300000,Private Sector,Hard,Moderate
Hardware Design Engineer,Engineering/Technology,"Specialize in drafting and troubleshooting multi-layered printed circuit boards (PCBs) to analyze, design, and optimize systems while collaborating with cross-functional teams.",PCB Design;Altium;Circuit Simulation;Microcontrollers;Soldering,Undergraduate (B.Tech EE/ECE),₹400000 - ₹1200000,Private Sector,Hard,Moderate
Telecom Network Engineer,Engineering/Technology,"Specialize in maintaining wireless cellular networks and radio frequency allocations to analyze, design, and optimize systems while collaborating with cross-functional teams.",5G Networks;LTE;Signal Processing;Network Planning;Wi-Fi,Undergraduate (B.Tech ECE),₹350000 - ₹1100000,Private Sector,Medium,Moderate
Robotics Software Engineer,Engineering/Technology,"Specialize in writing control algorithms for robotic limbs and navigation pathing to analyze, design, and optimize systems while collaborating with cross-functional teams.",ROS;Python;C++;Control Theory;Kinematics,Undergraduate (B.Tech Robotics/ECE),₹500000 - ₹1600000,Private Sector,Hard,Growing
IoT Developer,Engineering/Technology,"Specialize in linking sensors to microcontrollers and configuring smart home arrays to analyze, design, and optimize systems while collaborating with cross-functional teams.",IoT Protocols;Python;C;AWS IoT;Microcontrollers,Undergraduate (B.Tech/BCA),₹400000 - ₹1200000,Private Sector,Medium,Growing
Blockchain Engineer,Engineering/Technology,"Specialize in building consensus ledgers and writing decentralized smart contracts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Solidity;Smart Contracts;Cryptography;Go;Ethereum,Undergraduate (B.Tech/BCA),₹600000 - ₹2000000,Private Sector,Hard,Growing
Game Programmer,Engineering/Technology,"Specialize in translating game mechanics designs into C++ script and runtime loops to analyze, design, and optimize systems while collaborating with cross-functional teams.",C#;C++;Unity;Unreal Engine;Mathematics,Undergraduate (B.Tech/BCA),₹350000 - ₹1300000,Private Sector,Hard,Growing
System Integration Specialist,Engineering/Technology,"Specialize in unifying separate software modules and legacy data platforms to analyze, design, and optimize systems while collaborating with cross-functional teams.",API Integration;JSON;XML;Python;Middleware,Undergraduate (B.Tech/BCA),₹350000 - ₹1000000,Private Sector,Medium,Stable
IT Support Consultant,Engineering/Technology,"Specialize in resolving enterprise software client configurations and tech queries to analyze, design, and optimize systems while collaborating with cross-functional teams.",Troubleshooting;Windows;Linux;Active Directory;Customer Service,Undergraduate/Diploma,₹250000 - ₹700000,Private Sector,Easy,Stable
Vulnerability Analyst,Engineering/Technology,"Specialize in assessing company application codebases for potential security flaws to analyze, design, and optimize systems while collaborating with cross-functional teams.",Vulnerability Assessment;OWASP Top 10;Burp Suite;Nmap;Security Auditing,Undergraduate (B.Tech/BCA),₹450000 - ₹1300000,Private Sector,Hard,High
Data Analyst,Science/Computer Applications,"Specialize in analyzing spreadsheets and building business dashboards for key decisions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Excel;SQL;Tableau;Power BI;Python,Undergraduate (B.Sc/BCA/B.Com),₹300000 - ₹900000,Private Sector,Medium,High
Business Intelligence Analyst,Science/Computer Applications,"Specialize in extracting analytics insights from corporate database warehouses to analyze, design, and optimize systems while collaborating with cross-functional teams.",SQL;ETL;Power BI;Data Warehousing;Data Modeling,Undergraduate (BCA/B.Sc CS/B.Tech),₹400000 - ₹1200000,Private Sector,Medium,High
ML Engineer,Science/Computer Applications,"Specialize in building, tuning, and deploying predictive machine learning systems to analyze, design, and optimize systems while collaborating with cross-functional teams.",Python;Scikit-Learn;SQL;Pandas;Machine Learning,Undergraduate (B.Tech/BCA/B.Sc CS),₹600000 - ₹2000000,Private Sector,Hard,High
NLP Engineer,Science/Computer Applications,"Specialize in training language models to process and comprehend text data inputs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Python;PyTorch;NLP;Transformers;HuggingFace,Undergraduate (B.Tech/BCA/B.Sc CS),₹650000 - ₹2200000,Private Sector,Hard,High
Computer Vision Specialist,Science/Computer Applications,"Specialize in building convolutional networks to parse and classify image sequences to analyze, design, and optimize systems while collaborating with cross-functional teams.",OpenCV;Python;PyTorch;Deep Learning;Image Processing,Undergraduate (B.Tech/BCA/B.Sc CS),₹650000 - ₹2200000,Private Sector,Hard,High
Data Modeler,Science/Computer Applications,"Specialize in architecting data logic graphs and indexing structural relationships to analyze, design, and optimize systems while collaborating with cross-functional teams.",Data Modeling;ERD;SQL;Data Warehousing;Schema Design,Undergraduate (BCA/B.Sc CS),₹400000 - ₹1200000,Private Sector,Medium,Stable
Database Administrator,Science/Computer Applications,"Specialize in managing database backup plans and scheduling user privileges to analyze, design, and optimize systems while collaborating with cross-functional teams.",SQL;Oracle;PostgreSQL;Database Administration;Backup & Recovery,Undergraduate (BCA/B.Sc CS),₹450000 - ₹1300000,Private Sector,Medium,Stable
Statistical Analyst,Science/Computer Applications,"Specialize in applying sampling methodologies to prove hypotheses and compile logs to analyze, design, and optimize systems while collaborating with cross-functional teams.",R;SAS;Statistics;Hypothesis Testing;Excel,Undergraduate (B.Sc Math/Stats),₹300000 - ₹850000,Private Sector,Medium,Stable
Actuarial Scientist,Science/Computer Applications,"Specialize in modelling risk tables and calculate insurance claims outcomes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Financial Math;Excel;R;Probability;Risk Analysis,Undergraduate (B.Sc Math/Stats/B.Com),₹500000 - ₹1800000,Private Sector,Hard,High
Research Assistant,Science/Computer Applications,"Specialize in organizing experimental trials, checking test tubes, and logging metrics to analyze, design, and optimize systems while collaborating with cross-functional teams.",Laboratory Skills;Data Recording;Scientific Writing;Research Methodology;Excel,Undergraduate (B.Sc),₹200000 - ₹500000,Government Sector,Easy,Stable
Bioinformatics Analyst,Science/Computer Applications,"Specialize in comparing sequence databases to spot mutations in DNA structures to analyze, design, and optimize systems while collaborating with cross-functional teams.",Python;R;Bioinformatics;Sequence Alignment;Genomics,Undergraduate (B.Sc Biotech/Bioinformatics),₹350000 - ₹1000000,Private Sector,Hard,Growing
Genomics Researcher,Science/Computer Applications,"Specialize in mapping genome paths to identify targets for custom drug therapies to analyze, design, and optimize systems while collaborating with cross-functional teams.",Genomics;DNA Sequencing;PCR;Biochemistry;Molecular Biology,Postgraduate (M.Sc),₹400000 - ₹1200000,Private Sector,Hard,Growing
Forensic Lab Scientist,Science/Computer Applications,"Specialize in testing blood stains and toxic substances from criminal scenes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Forensic Science;Chemistry;Toxicology;DNA Profiling;Microscopy,Undergraduate (B.Sc),₹300000 - ₹800000,Government Sector,Medium,Stable
Environmental Chemist,Science/Computer Applications,"Specialize in analyzing air dust samples and checking clean water qualities to analyze, design, and optimize systems while collaborating with cross-functional teams.",Analytical Chemistry;Water Sampling;Spectroscopy;Ecology;Lab Safety,Undergraduate (B.Sc Chemistry),₹300000 - ₹800000,NGO / Public Sector,Medium,Stable
Hydrologist,Science/Computer Applications,"Specialize in modelling local water flows, rain volumes, and underground wells to analyze, design, and optimize systems while collaborating with cross-functional teams.",Hydrology;Water Management;GIS;Data Analysis;Soil Science,Undergraduate (B.Sc Earth Science),₹350000 - ₹950000,Government Sector,Medium,Stable
Geotechnical Specialist,Science/Computer Applications,"Specialize in drilling core soils to determine foundation feasibility designs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Geology;Soil Mechanics;Site Assessment;GIS;Structural Analysis,Undergraduate (B.Sc Geology),₹350000 - ₹1000000,Private Sector,Medium,Stable
Meteorological Observer,Science/Computer Applications,"Specialize in reading weather satellite radars and tracking local temperatures to analyze, design, and optimize systems while collaborating with cross-functional teams.",Meteorology;Weather Forecasting;GIS;Data Logging;Climatology,Undergraduate (B.Sc Physics/Atmosphere),₹300000 - ₹750000,Government Sector,Medium,Stable
Volcanologist,Science/Computer Applications,"Specialize in measuring mountain tremors and checking sulphur gas levels to analyze, design, and optimize systems while collaborating with cross-functional teams.",Seismology;Geochemistry;Field Mapping;GIS;Volcanology,Postgraduate (M.Sc Geology),₹400000 - ₹1100000,Government Sector,Hard,Stable
Astronomical Observer,Science/Computer Applications,"Specialize in monitoring telemetry feeds from deep space telescope trackers to analyze, design, and optimize systems while collaborating with cross-functional teams.",Astronomy;Physics;Python;Data Reduction;Calculus,Postgraduate (M.Sc Physics/Astronomy),₹350000 - ₹1200000,Government Sector,Hard,Stable
Computational Physicist,Science/Computer Applications,"Specialize in running numerical codes to simulate particle collision matrices to analyze, design, and optimize systems while collaborating with cross-functional teams.",Physics;Python;C++;Numerical Methods;Calculus,Postgraduate (M.Sc Physics),₹400000 - ₹1400000,Private Sector,Hard,Growing
Mathematical Modeler,Science/Computer Applications,"Specialize in translating industrial physical constraints into equations systems to analyze, design, and optimize systems while collaborating with cross-functional teams.",Mathematics;Python;Matlab;Differential Equations;Linear Algebra,Undergraduate (B.Sc Math),₹350000 - ₹1100000,Private Sector,Hard,Growing
Quantitative Modeler,Science/Computer Applications,"Specialize in coding automated algorithms to trade market derivative portfolios to analyze, design, and optimize systems while collaborating with cross-functional teams.",Quantitative Finance;Python;Stochastic Calculus;SQL;Statistics,Postgraduate (M.Sc Finance/Stats),₹800000 - ₹3000000,Private Sector,Hard,High
AI Research Associate,Science/Computer Applications,"Specialize in writing research papers exploring new deep neural networks layers to analyze, design, and optimize systems while collaborating with cross-functional teams.",Deep Learning;PyTorch;Mathematical Theory;Research Writing;Python,Postgraduate (M.Sc/M.Tech),₹500000 - ₹1800000,Private Sector,Hard,High
Financial Risk Analyst,Commerce/Management,"Specialize in calculating credit default trends and capital liquidity requirements to analyze, design, and optimize systems while collaborating with cross-functional teams.",Risk Management;Excel;Financial Modeling;SQL;Finance Standards,Undergraduate (B.Com/BBA),₹400000 - ₹1200000,Private Sector,Hard,High
Wealth Advisor,Commerce/Management,"Specialize in recommending mutual funds and tax planning options to individual clients to analyze, design, and optimize systems while collaborating with cross-functional teams.",Wealth Management;Investment Planning;Tax Rules;Customer Relations;Excel,Undergraduate (B.Com/BBA),₹350000 - ₹1000000,Private Sector,Medium,Growing
Tax Consultant,Commerce/Management,"Specialize in completing business GST reports and claiming legal tax deductions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Taxation;GST Laws;Accounting;Corporate Finance;Excel,Undergraduate (B.Com),₹300000 - ₹900000,Private Sector,Medium,Stable
Corporate Accountant,Commerce/Management,"Specialize in balancing company ledgers and building audit trial balance spreadsheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Accounting;Tally ERP;Excel;Financial Reporting;Taxation,Undergraduate (B.Com),₹250000 - ₹800000,Private Sector,Medium,Stable
Cost Accountant,Commerce/Management,"Specialize in calculating factory materials cost and optimizing manufacturing inventory budgets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Cost Accounting;Excel;Budgeting;Financial Analysis;Inventory Control,Undergraduate (B.Com) / ICWA,₹350000 - ₹1100000,Private Sector,Medium,Stable
Internal Audit Officer,Commerce/Management,"Specialize in checking company cash registers and validating expense policy bills to analyze, design, and optimize systems while collaborating with cross-functional teams.",Auditing;Compliance;Internal Controls;Excel;Report Writing,Undergraduate (B.Com),₹350000 - ₹1000000,Private Sector,Medium,Stable
M&A Investment Banker,Commerce/Management,"Specialize in building valuations books to coordinate company takeover acquisitions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Valuations;M&A;Financial Modeling;Corporate Finance;Pitch Decks,Undergraduate + MBA (Finance),₹900000 - ₹3500000,Private Sector,Hard,High
Portfolio Specialist,Commerce/Management,"Specialize in allocating client money weightings across stock equities and bond markets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Portfolio Management;Equity Analysis;Asset Allocation;Market Research;Excel,Undergraduate (B.Com/BBA),₹500000 - ₹1800000,Private Sector,Hard,High
Treasury Analyst,Commerce/Management,"Specialize in overseeing corporate cash flows and managing exchange rate currencies conversions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Treasury Management;Cash Flow Analysis;Excel;Corporate Banking;Risk Analysis,Undergraduate (B.Com/BBA),₹400000 - ₹1300000,Private Sector,Medium,Stable
Business Development Associate,Commerce/Management,"Specialize in pitching software capabilities to convert sales pipeline accounts to analyze, design, and optimize systems while collaborating with cross-functional teams.",B2B Sales;Lead Generation;Negotiation;CRM Tools;Presentation,Undergraduate (BBA/B.Com),₹300000 - ₹1000000,Private Sector,Medium,High
Account Executive,Commerce/Management,"Specialize in managing client business relationships and renewing annual product contracts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Relationship Management;Negotiation;Sales;CRM Tools;Interpersonal Skills,Undergraduate (BBA/B.Com),₹300000 - ₹950000,Private Sector,Easy,Stable
Retail Store Manager,Commerce/Management,"Specialize in overseeing customer checkouts, floor layouts, and store inventory stock to analyze, design, and optimize systems while collaborating with cross-functional teams.",Retail Management;Customer Relations;Inventory Control;Staff Scheduling;Sales Forecasting,Undergraduate,₹300000 - ₹800000,Private Sector,Easy,Stable
Brand Manager,Commerce/Management,"Specialize in drafting advertising campaigns and directing packaging graphics layout guidelines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Brand Strategy;Market Research;Marketing Campaigns;Creative Writing;Jira,Undergraduate + MBA (Marketing),₹500000 - ₹1800000,Private Sector,Medium,High
Product Marketing Specialist,Commerce/Management,"Specialize in writing product release notes and preparing screenshots slides sheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Product Marketing;Copywriting;Competitive Analysis;Social Media;SEO,Undergraduate (BBA/B.Com/B.A),₹350000 - ₹1100000,Private Sector,Medium,High
Content Marketing Lead,Commerce/Management,"Specialize in planning corporate newsletter editorial cycles and posting articles copies to analyze, design, and optimize systems while collaborating with cross-functional teams.",Content Strategy;SEO;Copywriting;Email Marketing;Social Media,Undergraduate (B.A. English/BBA),₹300000 - ₹900000,Private Sector,Easy,Growing
SEO Consultant,Commerce/Management,"Specialize in researching keywords search volumes to optimize web page rankings to analyze, design, and optimize systems while collaborating with cross-functional teams.",SEO;Google Analytics;Keyword Research;HTML;Content Writing,Undergraduate,₹250000 - ₹800000,Private Sector,Easy,High
E-commerce Executive,Commerce/Management,"Specialize in updating products catalog prices lists on shopping cart systems to analyze, design, and optimize systems while collaborating with cross-functional teams.",Shopify;Inventory Management;Google Analytics;Digital Marketing;Excel,Undergraduate,₹250000 - ₹750000,Private Sector,Easy,Growing
Supply Chain Planner,Commerce/Management,"Specialize in monitoring factory lead times to balance materials warehouse stocks to analyze, design, and optimize systems while collaborating with cross-functional teams.",Supply Chain Management;Excel;Logistics;SAP;Demand Planning,Undergraduate (B.Com/BBA/B.Tech),₹350000 - ₹1000000,Private Sector,Medium,High
Logistics Administrator,Commerce/Management,"Specialize in routing transport trucks shipments tracks and coordinating warehouse space to analyze, design, and optimize systems while collaborating with cross-functional teams.",Logistics;Warehouse Operations;Excel;Vendor Management;Safety Standards,Undergraduate/Diploma,₹250000 - ₹650000,Private Sector,Easy,Stable
Talent Acquisition Recruiter,Commerce/Management,"Specialize in sourcing candidates from hiring databases and setting interviews dates to analyze, design, and optimize systems while collaborating with cross-functional teams.",Recruiting;Candidate Sourcing;Interpersonal Skills;LinkedIn Recruiter;ATS Systems,Undergraduate,₹250000 - ₹750000,Private Sector,Easy,Stable
HR Operations Analyst,Commerce/Management,"Specialize in updating payroll employee databases and checking tax deduct details to analyze, design, and optimize systems while collaborating with cross-functional teams.",HR Operations;Payroll Systems;Excel;Labor Laws;Employee Relations,Undergraduate (BBA/B.Com),₹300000 - ₹850000,Private Sector,Easy,Stable
Operations Specialist,Commerce/Management,"Specialize in analyzing daily workflow outputs speeds to remove business bottlenecks to analyze, design, and optimize systems while collaborating with cross-functional teams.",Process Mapping;Operations Management;Excel;Project Management;Analytical Thinking,Undergraduate (BBA/B.Com/B.Tech),₹350000 - ₹1100000,Private Sector,Medium,High
Strategy Advisor,Commerce/Management,"Specialize in analyzing industry market sizes to recommend new expansion plans to analyze, design, and optimize systems while collaborating with cross-functional teams.",Business Strategy;Market Entry;Excel;PowerPoint;Financial Modeling,Undergraduate + MBA,₹600000 - ₹2400000,Private Sector,Hard,High
UI Developer,Design/Arts,"Specialize in converting design wireframes into responsive HTML and CSS page templates to analyze, design, and optimize systems while collaborating with cross-functional teams.",HTML;CSS;Figma;Bootstrap;JavaScript,Undergraduate (B.Des/BFA/BCA),₹300000 - ₹950000,Private Sector,Medium,High
UX Researcher,Design/Arts,"Specialize in interviewing client user groups to log user journeys frustration points to analyze, design, and optimize systems while collaborating with cross-functional teams.",User Research;Usability Testing;Personas;Data Coding;Information Architecture,Undergraduate (B.Des/B.A. Psychology),₹350000 - ₹1100000,Private Sector,Medium,High
Visual UX Architect,Design/Arts,"Specialize in drafting user app click flows blueprints and layout navigation systems to analyze, design, and optimize systems while collaborating with cross-functional teams.",Information Architecture;Wireframing;Figma;User Flows;Prototyping,Undergraduate (B.Des/BFA),₹350000 - ₹1200000,Private Sector,Medium,High
Interaction Specialist,Design/Arts,"Specialize in defining button micro animations and page transition visual feedback loops to analyze, design, and optimize systems while collaborating with cross-functional teams.",Interaction Design;Figma;Prototyping;Adobe After Effects;UX Principles,Undergraduate (B.Des/BFA),₹350000 - ₹1100000,Private Sector,Medium,High
Visual Brand Stylist,Design/Arts,"Specialize in creating corporate color palettes guidelines and custom brand graphics designs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Typography;Branding;Vector Design;Photoshop;Illustrator,Undergraduate (B.Des/BFA),₹250000 - ₹850000,Private Sector,Medium,Growing
Illustrator,Design/Arts,"Specialize in drawing vector character art and storybook sketches for media publications to analyze, design, and optimize systems while collaborating with cross-functional teams.",Vector Illustration;Sketching;Photoshop;Illustrator;Creativity,Undergraduate (BFA/Design),₹200000 - ₹750000,Private Sector,Medium,Growing
Cartoon Artist,Design/Arts,"Specialize in drawing caricature sketches strip cells comics and visual gag panels to analyze, design, and optimize systems while collaborating with cross-functional teams.",Cartooning;Sketching;Storyboarding;Photoshop;Creative Expression,Undergraduate (BFA/Diploma),₹200000 - ₹700000,Private Sector,Easy,Stable
2D Animator,Design/Arts,"Specialize in drawing frame by frame character movements for digital cartoon series to analyze, design, and optimize systems while collaborating with cross-functional teams.",Toon Boom;Flash Animation;Storyboarding;Character Design;Drawing,Undergraduate (BFA/Diploma),₹250000 - ₹800000,Private Sector,Medium,Growing
3D Rigging Artist,Design/Arts,"Specialize in adding bones joints and kinematics limits to 3D mesh model skeletons to analyze, design, and optimize systems while collaborating with cross-functional teams.",3D Modeling;Maya;3D Rigging;Kinematics;Python Scripting,Undergraduate (B.Des/Diploma),₹300000 - ₹1000000,Private Sector,Hard,Growing
Motion Graphics Artist,Design/Arts,"Specialize in animating logo intros kinetic titles and promotional video graphics to analyze, design, and optimize systems while collaborating with cross-functional teams.",After Effects;Illustrator;Photoshop;Video Editing;Sound Syncing,Undergraduate (B.Des/BFA),₹250000 - ₹900000,Private Sector,Medium,High
Video Editor,Design/Arts,"Specialize in splicing film takes adjusting voice audio volumes and formatting export files to analyze, design, and optimize systems while collaborating with cross-functional teams.",Premiere Pro;DaVinci Resolve;Color Grading;Audio Mixing;Video Splicing,Undergraduate/Diploma,₹250000 - ₹850000,Private Sector,Medium,High
Studio Photographer,Design/Arts,"Specialize in adjusting lighting setups focus lenses and capturing high resolution product photos to analyze, design, and optimize systems while collaborating with cross-functional teams.",Photography;Lighting Setups;Photoshop;Lightroom;Composition,Undergraduate/Diploma,₹200000 - ₹750000,Private Sector,Easy,Stable
Associate Art Director,Design/Arts,"Specialize in overseeing creative mockups layouts themes for media campaigns to analyze, design, and optimize systems while collaborating with cross-functional teams.",Creative Direction;Design Layouts;Adobe Suite;Typography;Visual Communication,Undergraduate (B.Des/BFA),₹500000 - ₹1600000,Private Sector,Hard,Stable
Interior Stylist,Design/Arts,"Specialize in drafting flat furniture layouts choosing curtains textiles and color matching walls to analyze, design, and optimize systems while collaborating with cross-functional teams.",Space Planning;SketchUp;Color Selection;Materials Coordination;Interior Design,Undergraduate (B.Des/Diploma),₹250000 - ₹800000,Private Sector,Medium,Growing
Landscape Architect,Design/Arts,"Specialize in designing public park pathways garden layouts and selecting shade trees to analyze, design, and optimize systems while collaborating with cross-functional teams.",Landscape Design;AutoCAD;Plant Selection;GIS;Site Analysis,Undergraduate (B.Arch/B.Des),₹350000 - ₹1100000,Private Sector,Hard,Stable
Exhibition Set Designer,Design/Arts,"Specialize in drafting trade show stalls booths walls and arranging highlight spotlights to analyze, design, and optimize systems while collaborating with cross-functional teams.",3D Rendering;AutoCAD;Spatial Design;Lighting;Material Specifications,Undergraduate (B.Des/B.Arch),₹300000 - ₹950000,Private Sector,Medium,Stable
Fashion Stylist,Design/Arts,"Specialize in coordinating clothes items jewelry matches and makeup looks for shoots to analyze, design, and optimize systems while collaborating with cross-functional teams.",Fashion Styling;Trend Analysis;Color Matching;Apparel Sourcing;Visual Merchandising,Undergraduate (B.Des/Diploma),₹200000 - ₹750000,Private Sector,Easy,Growing
Costume Coordinator,Design/Arts,"Specialize in stitching clothing sets matches and doing historic outfit research for theater to analyze, design, and optimize systems while collaborating with cross-functional teams.",Sewing;Costume History;Pattern Making;Fabric Selection;Textiles,Undergraduate (B.Des/Diploma),₹200000 - ₹700000,Private Sector,Medium,Stable
Textile Print Designer,Design/Arts,"Specialize in sketching repeating floral motifs pattern blocks for clothing fabrics printing to analyze, design, and optimize systems while collaborating with cross-functional teams.",Pattern Design;Photoshop;Weaving Basics;Dyes;Fabric Textures,Undergraduate (B.Des/Diploma),₹250000 - ₹850000,Private Sector,Medium,Stable
Ceramics Design Artist,Design/Arts,"Specialize in throwing clay pots firing glazes kilns and styling decorative dinnerware to analyze, design, and optimize systems while collaborating with cross-functional teams.",Clay Throwing;Glazing;Kiln Firing;Sculpting;Creative Design,Undergraduate (BFA/Diploma),₹150000 - ₹600000,Private Sector,Medium,Stable
Jewelry Craft Designer,Design/Arts,"Specialize in sketching metal necklaces casting gold molds and setting gemstone weights to analyze, design, and optimize systems while collaborating with cross-functional teams.",Jewelry Sketching;CAD (Matrix);Gemology Basics;Metal Casting;Soldering,Undergraduate (B.Des/Diploma),₹250000 - ₹900000,Private Sector,Medium,Growing
Industrial Product Designer,Design/Arts,"Specialize in sketching plastic housing ergonomics curves for handheld consumer gadgets to analyze, design, and optimize systems while collaborating with cross-functional teams.",SolidWorks;Keyshot;Ergonomics;Prototyping;Materials Science,Undergraduate (B.Des),₹350000 - ₹1100000,Private Sector,Hard,Stable
Pack Pattern Designer,Design/Arts,"Specialize in drafting folding cardboard boxes blueprints and packing logo prints to analyze, design, and optimize systems while collaborating with cross-functional teams.",Packaging Design;Illustrator;CAD Drafting;Materials Testing;Branding,Undergraduate (B.Des),₹300000 - ₹950000,Private Sector,Medium,Stable
Corporate Law Associate,Law,"Specialize in reviewing corporate business agreements and drafting clauses lists to analyze, design, and optimize systems while collaborating with cross-functional teams.",Contract Law;Legal Drafting;Due Diligence;Legal Research;Negotiation,Undergraduate (LLB/BA-LLB),₹500000 - ₹1600000,Private Sector,Hard,High
Criminal Defense Counsel,Law,"Specialize in presenting bail filings cross examining witnesses and managing court defense cases to analyze, design, and optimize systems while collaborating with cross-functional teams.",Criminal Law;Oral Advocacy;Cross-Examination;Legal Drafting;Investigation,Undergraduate (LLB/BA-LLB),₹300000 - ₹1400000,NGO / Public Sector,Hard,Stable
Public Prosecutor Representative,Law,"Specialize in representing municipal crime files and filing state charges documents to analyze, design, and optimize systems while collaborating with cross-functional teams.",Prosecution Laws;Evidence Acts;Legal Advocacy;Court Procedure;Case Prep,Undergraduate (LLB/BA-LLB),₹400000 - ₹1200000,Government Sector,Hard,Stable
Family Law Counsel,Law,"Specialize in representing clients in child custody trials and executing asset divorce agreements to analyze, design, and optimize systems while collaborating with cross-functional teams.",Family Law;Mediation;Legal Drafting;Client Counseling;Court Litigation,Undergraduate (LLB/BA-LLB),₹250000 - ₹950000,Private Sector,Medium,Stable
Property Law Associate,Law,"Specialize in checking land registry deeds and verifying building sale compliance records to analyze, design, and optimize systems while collaborating with cross-functional teams.",Property Law;Due Diligence;Title Search;Contract Drafting;Compliance,Undergraduate (LLB/BA-LLB),₹300000 - ₹1000000,Private Sector,Medium,Stable
